from_section,to_section,edge_type
008,010,mentioned_dependency_or_related
008,014,mentioned_dependency_or_related
008,017,mentioned_dependency_or_related
008,018,mentioned_dependency_or_related
008,020,mentioned_dependency_or_related
008,021,mentioned_dependency_or_related
008,022,mentioned_dependency_or_related
008,041,mentioned_dependency_or_related
008,258,mentioned_dependency_or_related
008,263,mentioned_dependency_or_related
008,287,mentioned_dependency_or_related
008,289,mentioned_dependency_or_related
008,301,mentioned_dependency_or_related
008,319,mentioned_dependency_or_related
008,331,mentioned_dependency_or_related
008,372,mentioned_dependency_or_related
008,402,mentioned_dependency_or_related
008,405,mentioned_dependency_or_related
009,006,mentioned_dependency_or_related
009,007,mentioned_dependency_or_related
009,008,mentioned_dependency_or_related
009,010,mentioned_dependency_or_related
009,011,mentioned_dependency_or_related
009,017,mentioned_dependency_or_related
009,018,mentioned_dependency_or_related
009,019,mentioned_dependency_or_related
009,020,mentioned_dependency_or_related
009,107,mentioned_dependency_or_related
009,228,mentioned_dependency_or_related
009,231,mentioned_dependency_or_related
009,256,mentioned_dependency_or_related
009,257,mentioned_dependency_or_related
009,258,mentioned_dependency_or_related
009,287,mentioned_dependency_or_related
009,289,mentioned_dependency_or_related
009,331,mentioned_dependency_or_related
009,402,mentioned_dependency_or_related
009,403,mentioned_dependency_or_related
009,404,mentioned_dependency_or_related
010,006,mentioned_dependency_or_related
010,007,mentioned_dependency_or_related
010,008,mentioned_dependency_or_related
010,009,mentioned_dependency_or_related
010,011,mentioned_dependency_or_related
010,012,mentioned_dependency_or_related
010,014,mentioned_dependency_or_related
010,015,mentioned_dependency_or_related
010,016,mentioned_dependency_or_related
010,017,mentioned_dependency_or_related
010,018,mentioned_dependency_or_related
010,019,mentioned_dependency_or_related
010,075,mentioned_dependency_or_related
010,079,mentioned_dependency_or_related
010,080,mentioned_dependency_or_related
010,106,mentioned_dependency_or_related
010,183,mentioned_dependency_or_related
010,231,mentioned_dependency_or_related
010,257,mentioned_dependency_or_related
010,288,mentioned_dependency_or_related
010,372,mentioned_dependency_or_related
010,373,mentioned_dependency_or_related
010,389,mentioned_dependency_or_related
010,390,mentioned_dependency_or_related
010,406,mentioned_dependency_or_related
011,001,mentioned_dependency_or_related
011,004,mentioned_dependency_or_related
011,005,mentioned_dependency_or_related
011,006,mentioned_dependency_or_related
011,009,mentioned_dependency_or_related
011,010,mentioned_dependency_or_related
011,012,mentioned_dependency_or_related
011,014,mentioned_dependency_or_related
011,015,mentioned_dependency_or_related
011,016,mentioned_dependency_or_related
011,017,mentioned_dependency_or_related
011,018,mentioned_dependency_or_related
011,019,mentioned_dependency_or_related
011,024,mentioned_dependency_or_related
011,025,mentioned_dependency_or_related
011,026,mentioned_dependency_or_related
011,027,mentioned_dependency_or_related
011,154,mentioned_dependency_or_related
011,176,mentioned_dependency_or_related
011,221,mentioned_dependency_or_related
011,256,mentioned_dependency_or_related
011,257,mentioned_dependency_or_related
012,001,mentioned_dependency_or_related
012,002,mentioned_dependency_or_related
012,003,mentioned_dependency_or_related
012,005,mentioned_dependency_or_related
012,006,mentioned_dependency_or_related
012,010,mentioned_dependency_or_related
012,011,mentioned_dependency_or_related
012,013,mentioned_dependency_or_related
012,014,mentioned_dependency_or_related
012,015,mentioned_dependency_or_related
012,016,mentioned_dependency_or_related
012,017,mentioned_dependency_or_related
012,163,mentioned_dependency_or_related
012,164,mentioned_dependency_or_related
012,165,mentioned_dependency_or_related
012,218,mentioned_dependency_or_related
012,219,mentioned_dependency_or_related
012,220,mentioned_dependency_or_related
012,369,mentioned_dependency_or_related
012,370,mentioned_dependency_or_related
012,405,mentioned_dependency_or_related
013,001,mentioned_dependency_or_related
013,002,mentioned_dependency_or_related
013,003,mentioned_dependency_or_related
013,005,mentioned_dependency_or_related
013,006,mentioned_dependency_or_related
013,010,mentioned_dependency_or_related
013,012,mentioned_dependency_or_related
013,014,mentioned_dependency_or_related
013,017,mentioned_dependency_or_related
013,018,mentioned_dependency_or_related
013,108,mentioned_dependency_or_related
013,169,mentioned_dependency_or_related
013,189,mentioned_dependency_or_related
013,207,mentioned_dependency_or_related
013,210,mentioned_dependency_or_related
013,219,mentioned_dependency_or_related
013,223,mentioned_dependency_or_related
013,224,mentioned_dependency_or_related
013,256,mentioned_dependency_or_related
013,343,mentioned_dependency_or_related
013,405,mentioned_dependency_or_related
